Groups, Dataset Name, Size,Shape,Type
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjection,horProjection,1920,"(1920,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageRawData,imageRawData,2304000,"(1200, 1920)",int16
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/horProjection,horProjection,1600,"(1600,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageRawData,imageRawData,1920000,"(1200, 1600)",int16
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/horProjection,horProjection,1920,"(1920,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageRawData,imageRawData,2304000,"(1200, 1920)",int16
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/horProjection,horProjection,1920,"(1920,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageRawData,imageRawData,2304000,"(1200, 1920)",int16
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/gain,gain,1,"(1,)",int64
AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings/triggerMode,triggerMode,1,"(1,)",|S2
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamIntensity,beamIntensity,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/beamSize,beamSize,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogX,cogX,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/cogY,cogY,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/height,height,1,"(1,)",int32
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAmp,horProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjAvg,horProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjSigma,horProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/horProjection,horProjection,1600,"(1600,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageRawData,imageRawData,1920000,"(1200, 1600)",int16
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/imageTimeStamp,imageTimeStamp,1,"(1,)",int64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityAvg,intensityAvg,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityHistogram,intensityHistogram,1000,"(1000,)",int32
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensityRMS,intensityRMS,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/intensitySigma,intensitySigma,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/pixelSize,pixelSize,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAmp,verProjAmp,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjAvg,verProjAvg,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjSigma,verProjSigma,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/verProjection,verProjection,1200,"(1200,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage/width,width,1,"(1,)",int32
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/delayTime,delayTime,1,"(1,)",float64
AwakeEventData/BOVWA.06TCC4.AWAKECAM06/PublishedSettings/exposureTime,exposureTime,1,"(1,)",float64
